id,commonNames,scientificNameWithoutAuthor,scientificNameAuthorship,gbifId,powoId,iucnCategory
1438650,"[""Braunton's milk-vetch"", ""Braunton's milkvetch""]",Astragalus brauntonii,Parish,5346019.0,24567-2,
1413765,"['Gaugeplant', 'Single-stem butterweed', 'Lamb-Tongue Ragwort', 'Lambstongue ragwort', 'Western ragwort', 'Entire-leaved groundsel', 'Entire-leaved ragwort', ""Lamb's-tongue ragwort"", 'Western groundsel']",Senecio integerrimus,Nutt.,3107969.0,245678-1,
1408732,"['Spottedheart', 'Stictocardia']",Stictocardia tiliifolia,(Desr.) Hallier f.,3677765.0,245692-2,LC
1728113,[],Stigmatopteris longicaudata,C.Chr.,4042309.0,245831-2,
1728118,[],Stigmatopteris sordida,C.Chr.,4042126.0,245847-2,
1547394,[],Stillingia argutedentata,Jabl.,3055172.0,245856-2,
1414049,"['Canada milk-vetch', 'Canadian milkvetch', 'Canadian Milk-Vetch']",Astragalus canadensis,L.,5345439.0,24595-2,
1520373,[],Senecio latiflorus,Wedd.,3108765.0,245956-1,
1520380,"[""Lemmon's groundsel"", ""Lemmon's ragwort""]",Senecio lemmonii,A.Gray,3108274.0,245997-1,
1357861,['Coastal ragwort'],Senecio leucanthemifolius,Poir.,7624085.0,246025-1,
1520400,[],Senecio leucophyton,Phil.,3109089.0,246043-1,
1520401,[],Senecio leucostachys,Baker,3107798.0,246045-1,
1520412,['Fireweed groundsel'],Senecio linearifolius,A.Rich.,3108807.0,246077-1,
1357862,['Groundsel'],Senecio lividus,L.,3107156.0,246100-1,
1413936,"['Small twistedstalk', 'Small twisted-stalk']",Streptopus streptopoides,(Ledeb.) Frye & Rigg,2752755.0,246127-2,
1400032,[],Senecio lopezii,Boiss.,3108866.0,246139-1,
1723083,[],Stromanthe jacquinii,(Roem. & Schult.) H.Kenn. & Nicolson,2761292.0,246147-2,
1596464,[],Stromanthe sellowiana,K.Schum.,2761274.0,246152-2,
1488237,['Top cactus'],Strombocactus disciformis,(DC.) Britton & Rose,7284632.0,246156-2,VU
1725400,[],Strophocactus wittii,(K.Schum.) Britton & Rose,3959981.0,246169-2,LC
1373846,[],Senecio lyratus,Forssk.,7712789.0,246179-1,
1373847,"['Natal-ivy', 'Cape-ivy', 'Waxvine', 'Flowering Ivy']",Senecio macroglossus,DC.,3107720.0,246196-1,
1373848,"['Madagascar ragwort', 'Fireweed', 'Madagascar groundsel']",Senecio madagascariensis,Poir.,3107722.0,246209-1,
1520457,[],Senecio mairetianus,DC.,3107784.0,246224-1,
1520463,[],Senecio maranguensis,O.Hoffm.,3107688.0,246246-1,
1520466,[],Senecio maritimus,L.f.,7391906.0,246256-1,
1357863,[],Senecio massaicus,(Maire) Maire,3108895.0,246270-1,NT
